mmsi	link	users	responses	longliner	pursseiner	trawler	reefers	multigear	other fishing	notfishing	multiple	baddata	not known	other	othertext	websitesfound
258094960	http://crowd.globalfishingwatch.org/project/maptests2/task/4145	stephanielewis,katepepler,sidneyblack-rotchin	3							3						http://www.marinetraffic.com/en/ais/details/ships/258094960,http://www.marinetraffic.com/en/ais/details/ships/258094960
265613880	http://crowd.globalfishingwatch.org/project/maptests2/task/4146	stephanielewis,katepepler,sidneyblack-rotchin	3							2			1			http://www.marinetraffic.com/en/ais/details/ships/265613880
271072022	http://crowd.globalfishingwatch.org/project/maptests2/task/4147	stephanielewis,katepepler,clairechristie	3		1		1						1			https://translate.google.ca/translate?hl=en&sl=tr&u=http://www.basarangemi.com.tr/eng/%3Fp%3Dbaliknakliye&prev=search
271072496	http://crowd.globalfishingwatch.org/project/maptests2/task/4148	stephanielewis,katepepler,clairechristie	3		2								1			
273375800	http://crowd.globalfishingwatch.org/project/maptests2/task/4149	stephanielewis,katepepler,clairechristie	3							3						http://www.shippingexplorer.net/en/ship/vafa-1/29023,http://www.marinetraffic.com/en/ais/details/ships/273375800,http://www.shippingexplorer.net/en/ship/vafa-1/29023
273810800	http://crowd.globalfishingwatch.org/project/maptests2/task/4150	stephanielewis,katepepler,clairechristie	3	1					1				1			http://info.rs-head.spb.ru/webFS/regbook/regbookVessel,http://www.s-road.info/en/product/okidori.html
273815050	http://crowd.globalfishingwatch.org/project/maptests2/task/4151	katepepler,stephanielewis,clairechristie	3				3									http://info.rs-head.spb.ru/webFS/regbook/regbookVessel,http://info.rs-head.spb.ru/webFS/regbook/regbookVesselhttp://seaagent.com/en/ships/reefer/ship_imo_8033857.html,https://translate.google.ca/translate?hl=en&sl=pt&u=http://www.datamar.com.br/ship-search/detail/484183/komsomoliya-kaliningrada&prev=search
306589000	http://crowd.globalfishingwatch.org/project/maptests2/task/4152	katepepler,stephanielewis,clairechristie	3							2				1	Heavy lift Vessel 	http://www.marinetraffic.com/en/ais/details/ships/306589000,https://en.wikipedia.org/wiki/MV_Blue_Marlin,https://www.fleetmon.com/vessels/blue-marlin_9186338_25222/photos/759188/
310614000	http://crowd.globalfishingwatch.org/project/maptests2/task/4153	katepepler,stephanielewis,clairechristie	3							3						http://www.marinetraffic.com/en/ais/details/ships/310614000,http://www.rigzone.com/oil/data/offshore-rig-search/rig-profile/1539/drillship/odfjell/deepsea_metro_i/,https://www.vesselfinder.com/?mmsi=310614000
316026186	http://crowd.globalfishingwatch.org/project/maptests2/task/4154	katepepler,stephanielewis,clairechristie	3							2			1			http://www.marinetraffic.com/en/ais/details/ships/316026186,http://sd.ic.gc.ca/pls/engdoc_anon/mmsi_search.Ship_Search_Single?inMMSI=316026186&invesname=eat&inname=&oinmmsi=&incallsign=&invesid=&ininmarsat=,http://sd.ic.gc.ca/pls/engdoc_anon/mmsi_search.Ship_Search_Single?inMMSI=316026186&invesname=eat&inname=&oinmmsi=&incallsign=&invesid=&ininmarsat=
338100000	http://crowd.globalfishingwatch.org/project/maptests2/task/4155	katepepler,stephanielewis,isabelfleisher,kristinaboerder,clairechristie,cailinburmaster	6							5				1	Research vessel	http://www.marinetraffic.com/en/ais/details/ships/338100000,http://www.fugrogeoservices.com/related/vessels/miss-emma-mccallhttp://www.fugro.com/docs/default-source/Expertise-docs/Our-World/Vessels/emma-mccall.pdf,ZHEFENGYU13026,https://www.fleetmon.com/vessels/miss-emma-mccall_9289659_2011945/
