mmsi,model_label,student_label,student_model_agreement,model_score,type,type_score,student_confidence,pybossa_url,othertext,KRISTINA'S LABEL
227314010,Longliner,"trawler:1,otherfish:2,other:2",0,0.53,30,1,0.3,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4120,"trammel netter,gills and nets,",
228827000,Longliner,"otherfish:2,other:1",0,0.53,30,1,0.3,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4123,"pots and traps,",
235069725,Longliner,"trawler:1,otherfish:1,not_fishing:1",0,0.54,30,1,0.3,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4126,,
239236000,Longliner,"purse_seine:2,other:1",0,0.57,30,1,0.3,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4129,"fishing cutter,",
244391106,Purse seine,"not_fishing:2,other:1",0,0.63,36,1,0.3,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4130,"sailing vessel,",
251498240,Longliner,"trawler:1,otherfish:1,other:1",0,0.6,30,1,0.3,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4141,"baddata,",
257225000,Longliner,"longliner:1,trawler:2",0,0.64,30,0.99980012,0.3,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4143,,
257647500,Trawler,"purse_seine:2,otherfish:1",0,0.92,30,1,0.3,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4144,,
306589000,Longliner,"not_fishing:2,other:1",0,0.64,70,1,0.3,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4152,"heavy lift vessel ,",
338100000,Longliner,"not_fishing:5,other:1",0,0.52,90,1,0.3,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4155,"research vessel,",
345140500,Purse seine,"longliner:1,purse_seine:3",0,0.69,30,1,0.3,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4156,,
367016310,Longliner,"otherfish:1,not_fishing:2",0,0.66,72,0.541343669,0.3,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4157,,
372698000,Longliner,"not_fishing:2,other:1",0,0.87,99,0.999876976,0.3,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4163,"research vessel,",
377339000,Trawler,"trawler:1,not_fishing:2",0,1,70,1,0.3,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4164,,
431704110,Longliner,"longliner:2,not_fishing:1",0,0.99,37,1,0.3,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4225,,
432228000,Longliner,"longliner:2,trawler:1",0,0.99,30,1,0.3,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4227,,
576902000,Longliner,"trawler:1,not_fishing:2",0,0.53,65,0.333333333,0.3,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4240,,
701000764,Longliner,"trawler:2,otherfish:1",0,0.63,30,0.986814998,0.3,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4242,,
701000880,Longliner,"trawler:2,otherfish:1",0,0.99,30,1,0.3,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4243,,TRAWLER
211315630,Trawler,"purse_seine:1,trawler:5",0,0.56,30,1,0.3,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4551,,TRAWLER
224020840,Purse seine,"purse_seine:2,otherfish:1,other:1",0,0.57,30,1,0.3,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4561,"purse seine because of pictures,",
224020920,Longliner,"not_fishing:3,other:1",0,0.74,52,1,0.3,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4562,"tug,",
224040160,Purse seine,"purse_seine:2,other:1",0,0.93,30,1,0.3,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4563,"purse seine from pictures,",
224155960,Longliner,"otherfish:2,other:1",0,0.8,30,1,0.3,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4570,"set gill nets,",
224182460,Longliner,"not_fishing:2,other:1",0,0.94,36,1,0.3,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4571,"multi_gear,",
224290000,Longliner,"longliner:1,otherfish:2",0,0.93,30,1,0.3,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4574,,
224936000,Longliner,"longliner:1,other:1",0,0.79,30,1,0.3,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4579,"multi_gear,",
227667550,Longliner,"trawler:1,other:1",0,0.56,30,1,0.3,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4590,"multi_gear,",
228228700,Trawler,"trawler:1,other:1",0,0.51,30,1,0.3,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4592,"multi_gear,",
1193046,Purse seine,"other:1,not_known:1,multiple_vessles:6",0,0.78,50,0.57532533,0.2625,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4539,"baddata,",
215000330,Longliner,"longliner:1,purse_seine:1,otherfish:1,other:2,not_known:1",0,0.84,30,1,0.25,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4555,"multi_gear,multi_gear,",
