mmsi,link,users,responses,longliner,pursseiner,trawler,reefers,multigear,other fishing,notfishing,multiple,baddata,not known,other,othertext,websitesfound
412428092,http://crowd.globalfishingwatch.org/project/maptests2/task/459,"vaiduke2,kristinaboerder,juliecharbonneau,ninagalle",4,,,,,,,,,1,3,,,
900303106,http://crowd.globalfishingwatch.org/project/maptests2/task/460,"vaiduke2,stephanielewis,juliecharbonneau,kristinaboerder",4,,,,,,,,,2,2,,,
412411689,http://crowd.globalfishingwatch.org/project/maptests2/task/461,"vaiduke2,stephanielewis,juliecharbonneau,kristinaboerder",4,,,,,,,,,,3,1, other fishing ,
263583000,http://crowd.globalfishingwatch.org/project/maptests2/task/462,"vaiduke2,stephanielewis,ninagalle,elizabethnagel",4,1,,1,,,2,,,,,,,"http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=27604126&search_type=simple&search_id=9755,http://www.fao.org/figis/vrmf/finder/IOTC/!/display/vessel/UID/000000741#.VrOt17IrLIU,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=27604126&search_type=advanced&search_id=1853,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=27604126&search_type=advanced&search_id=830"
90143213,http://crowd.globalfishingwatch.org/project/maptests2/task/463,"vaiduke2,stephanielewis,ninagalle,juliecharbonneau",4,,,,,,,,,1,3,,,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=27604126&search_type=advanced&search_id=1853
413441090,http://crowd.globalfishingwatch.org/project/maptests2/task/464,"vaiduke2,stephanielewis,juliecharbonneau,kristinaboerder",4,,,,,,,,,1,3,,,http://www.fao.org/figis/vrmf/finder/!/display/vessel/IMO/9671759#.VqE66SorLWI
261008070,http://crowd.globalfishingwatch.org/project/maptests2/task/465,"vaiduke2,stephanielewis,kristinaboerder,juliecharbonneau",4,,,4,,,,,,,,,,"http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=27826493&search_type=simple&search_id=7889,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=27826493&search_type=advanced&search_id=7724,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=27826493&search_type=advanced&search_id=5826,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=27826493&search_type=advanced&search_id=3869"
235071779,http://crowd.globalfishingwatch.org/project/maptests2/task/466,"vaiduke2,ninagalle,cailinburmaster,juliecharbonneau,stephanielewis,elizabethnagel",6,,,,,,4,,,,,2,"Pots and Traps,Pots and traps","http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=28241175&search_type=simple&search_id=1723,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=28241175&search_type=advanced&search_id=1923,http://www.fao.org/figis/vrmf/finder/search/#stats,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=28241175&search_type=advanced&search_id=433,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=28241175&search_type=advanced&search_id=5990,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=28241175&search_type=advanced&search_id=5894"
412433799,http://crowd.globalfishingwatch.org/project/maptests2/task/467,"vaiduke2,ninagalle,juliecharbonneau,cailinburmaster",4,,,,,,1,,,,3,,,
224094160,http://crowd.globalfishingwatch.org/project/maptests2/task/468,"vaiduke2,juliecharbonneau,ninagalle,cailinburmaster,stephanielewis,AlexCerra",6,,6,,,,,,,,,,,"http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=28044932&search_type=simple&search_id=9471,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=28044932&search_type=advanced&search_id=6489,http://www.fao.org/figis/vrmf/finder/search/#quick,http://www.fao.org/figis/vrmf/finder/search/#quick,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=28044932&search_type=advanced&search_id=6156,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=28044932&search_type=advanced&search_id=4325"
