label,label_score,type,type_score,mmsi,link,users,responses,longliner,pursseiner,trawler,reefers,multigear,other fishing,notfishing,multiple,baddata,not known,other,othertext,websitesfound
Trawler,0.99992907,30,1,226220000,http://crowd.globalfishingwatch.org/project/maptests2/task/4118,"katepepler,stephanielewis,ninagalle",3,,,3,,,,,,,,,,"http://www.fao.org/figis/vrmf/finder/search/#basic,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/030062617#.Vt949UIrLIU,http://www.fao.org/figis/vrmf/finder/search/#quick"
Purse seine,0.690346003,36,1,227069470,http://crowd.globalfishingwatch.org/project/maptests2/task/4119,"katepepler,stephanielewis,ciarawillis",3,,,,,,,3,,,,,,http://www.marinetraffic.com/en/ais/details/ships/227069470
Longliner,0.529594362,30,1,227314010,http://crowd.globalfishingwatch.org/project/maptests2/task/4120,"katepepler,stephanielewis,ciarawillis,kristinaboerder,ninagalle",5,,,1,,,2,,,,,2,"Trammel netter,Gills and Nets","http://www.lavoixdunord.fr/region/le-bateau-boulonnais-le-negrier-a-coule-au-large-de-ia31b49030n3002796http://www.bateaux-fecamp.fr/corentinlucasbl-598337/,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/030059118#.Vt-J5JwrLIU,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=28154962&search_type=advanced&search_id=3453,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=28154962&search_type=advanced&search_id=2823"
Longliner,0.615811944,30,1,227579000,http://crowd.globalfishingwatch.org/project/maptests2/task/4121,"katepepler,stephanielewis,ciarawillis",3,,,3,,,,,,,,,,"https://gisis.imo.org/Public/SHIPS/Default.aspx,http://www.marinetraffic.com/en/ais/details/ships/227579000,http://www.fao.org/figis/vrmf/finder/EU/!/display/vessel/UID/000008234#.Vt-KjZwrLIU"
Purse seine,0.797213733,50,1,227698770,http://crowd.globalfishingwatch.org/project/maptests2/task/4122,"katepepler,stephanielewis,ciarawillis",3,,,,,,,3,,,,,,http://www.pilotedunkerque.fr/en/la-station/le-materiel-naval/
Longliner,0.526975513,30,1,228827000,http://crowd.globalfishingwatch.org/project/maptests2/task/4123,"katepepler,stephanielewis,ciarawillis",3,,,,,,2,,,,,1,Pots and traps,"http://www.fao.org/figis/vrmf/finder/search/#basic,http://www.bateaux-fecamp.fr/oceanemx-615518/,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/030059357#.Vt-LbJwrLIU"
Longliner,0.893802643,30,1,231180000,http://crowd.globalfishingwatch.org/project/maptests2/task/4124,"stephanielewis,sidneyblack-rotchin,juliecharbonneau,ninagalle",4,1,,,,,1,,,,1,1,Pole and Line,"https://www.msc.org/track-a-fishery/fisheries-in-the-program/certified/north-east-atlantic/Faroe_island_saithe/assessment-downloads-1/20140718_SR_SAI353.pdfhttp://www.whofishesfar.org/vessels/566,https://www.portmaps.com/spa/Aiss/jakup-b-231180000,https://www.msc.org/track-a-fishery/fisheries-in-the-program/certified/north-east-atlantic/Faroe_island_saithe/assessment-downloads-1/20130311_PCDR_SAI353.pdf"
Purse seine,0.595072925,35,1,235009920,http://crowd.globalfishingwatch.org/project/maptests2/task/4125,"katepepler,stephanielewis,sidneyblack-rotchin",3,,,,,,,3,,,,,,"http://www.marinetraffic.com/ais/details/ships/shipid:188583/mmsi:235009920/imo:0/vessel:HMS_EXPRESS,http://www.marinetraffic.com/en/ais/details/ships/235009920"
Longliner,0.540867746,30,1,235069725,http://crowd.globalfishingwatch.org/project/maptests2/task/4126,"katepepler,stephanielewis,sidneyblack-rotchin",3,,,1,,,1,1,,,,,,"http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/030085265#.Vt9pLcdOmlA,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/030085265#.Vt-GK0IrLIU,http://www.trawlerphotos.co.uk/gallery/showphoto.php?photo=78427"
Purse seine,0.789147198,40,1,235103844,http://crowd.globalfishingwatch.org/project/maptests2/task/4127,"katepepler,stephanielewis,ninagalle,juliecharbonneau",4,,,,,,,4,,,,,,"http://worldmaritimenews.com/archives/126424/seacat-ranger-sets-sail/,http://www.seacatservices.co.uk/our-fleet/seacat-ranger/,http://www.marinetraffic.com/en/ais/details/ships/235103844"
Trawler,0.931748509,30,1,237149000,http://crowd.globalfishingwatch.org/project/maptests2/task/4128,"katepepler,stephanielewis,ninagalle",3,,,3,,,,,,,,,,"http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=28505786&search_type=advanced&search_id=140,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/030091710#.Vt-InkIrLIU,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=28505786&search_type=advanced&search_id=6473"
Longliner,0.572800338,30,1,239236000,http://crowd.globalfishingwatch.org/project/maptests2/task/4129,"katepepler,stephanielewis,ninagalle",3,,2,,,,,,,,,1,Fishing cutter,"http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=28460828&search_type=advanced&search_id=140,https://www.portmaps.com/spa/Aiss/valeria-239236000,http://www.fao.org/figis/vrmf/finder/search/#quickhttp://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=28460828&search_type=advanced&search_id=6473"
Purse seine,0.626777172,36,1,244391106,http://crowd.globalfishingwatch.org/project/maptests2/task/4130,"katepepler,stephanielewis,ninagalle",3,,,,,,,2,,,,1,Sailing Vessel,"http://www.marinetraffic.com/en/ais/details/ships/244391106,http://aprs.fi/info/i/244391106"
Longliner,0.759623051,30,0.999957349,245369000,http://crowd.globalfishingwatch.org/project/maptests2/task/4131,"katepepler,stephanielewis,ninagalle",3,,,3,,,,,,,,,,"http://www.shipspotting.com/gallery/photo.php?lid=2287422,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/030151815#.Vt-KwUIrLIU,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=28154700&search_type=advanced&search_id=2921"
Trawler,0.999821126,30,1,246161000,http://crowd.globalfishingwatch.org/project/maptests2/task/4132,"katepepler,stephanielewis,ninagalle",3,,,3,,,,,,,,,,"http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=28160927&search_type=advanced&search_id=140,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/030151588#.Vt-LOEIrLIU,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=28160927&search_type=advanced&search_id=2921"
Trawler,0.514039338,30,1,247073090,http://crowd.globalfishingwatch.org/project/maptests2/task/4133,"katepepler,stephanielewis,ninagalle",3,,,3,,,,,,,,,,"http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=27742528&search_type=advanced&search_id=140,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/030143152#.Vt-LfEIrLIU,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=27742528&search_type=advanced&search_id=357"
Trawler,0.816433191,30,1,247081680,http://crowd.globalfishingwatch.org/project/maptests2/task/4134,"katepepler,stephanielewis,ninagalle",3,,,3,,,,,,,,,,"http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=27766137&search_type=advanced&search_id=140,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/030144506#.Vt-L8EIrLIU,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=27766137&search_type=advanced&search_id=357"
Longliner,0.512951675,30,1,247149410,http://crowd.globalfishingwatch.org/project/maptests2/task/4135,"katepepler,stephanielewis,ninagalle",3,,,2,,,,,,,1,,,"http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=27817729&search_type=advanced&search_id=140,http://www.fao.org/figis/vrmf/finder/ICCAT/!/display/vessel/UID/000020020#.Vt-Mt0IrLIUhttp://www.fao.org/figis/vrmf/finder/EU/!/display/vessel/UID/000020020#.Vt-N4kIrLIV,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=27817729&search_type=advanced&search_id=357"
Trawler,0.999953747,90,1,250103560,http://crowd.globalfishingwatch.org/project/maptests2/task/4136,"katepepler,stephanielewis,ninagalle",3,,,3,,,,,,,,,,"http://www.fao.org/figis/vrmf/finder/search/#basic,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/030057888#.Vt-OfEIrLIU,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=28117793&search_type=advanced&search_id=6090"
Trawler,0.835231483,30,1,251030110,http://crowd.globalfishingwatch.org/project/maptests2/task/4137,"stephanielewis,clairechristie,sidneyblack-rotchin,ninagalle",4,,2,,,,,,,,2,,,"http://www.seafish.org/media/Publications/SeineNetFishingWorkshop_Report_May2008.pdf,https://www.vesselfinder.com/vessels/ARNAR-IMO-0-MMSI-251030110,http://www.sax.is/?gluggi=skip&id=1056,http://www.responsiblefisheries.is/certification/certified-suppliers/"
Purse seine,0.528269589,30,1,251140740,http://crowd.globalfishingwatch.org/project/maptests2/task/4138,"stephanielewis,sidneyblack-rotchin,clairechristie",3,,,,,,1,,,,1,1,pole and line ,"http://www.sax.is/?gluggi=skip&id=2434,https://translate.google.ca/translate?hl=en&sl=is&u=http://www.sax.is/%3Fgluggi%3Dskip%26id%3D2434&prev=search"
Longliner,0.626698315,30,1,251243240,http://crowd.globalfishingwatch.org/project/maptests2/task/4139,"stephanielewis,sidneyblack-rotchin,ninagalle",3,,,,,,,,,,2,1,Pole and Lines,http://www.sax.is/?gluggi=skip&id=7152
Purse seine,0.506303191,30,1,251415540,http://crowd.globalfishingwatch.org/project/maptests2/task/4140,"stephanielewis,ninagalle,katepepler",3,,,,,,,,,1,1,1,Handlines,https://translate.google.ca/translate?hl=en&sl=is&u=http://www.fiskifrettir.is/skipaskra/1859/&prev=searchhttp://www.hibyliogskip.is/index.php/batar/1560-sigga-fraenka-st-71/
Longliner,0.599525988,30,1,251498240,http://crowd.globalfishingwatch.org/project/maptests2/task/4141,"stephanielewis,katepepler,sidneyblack-rotchin",3,,,1,,,1,,,1,,,,http://www.sax.is/?gluggi=skip&id=1733
Trawler,0.930290163,52,0.99997305,257205500,http://crowd.globalfishingwatch.org/project/maptests2/task/4142,"stephanielewis,katepepler,sidneyblack-rotchin",3,,,,,,,3,,,,,,"http://ship-info.com/prog/ship.asp?id=5346447,http://www.marinetraffic.com/en/ais/details/ships/257205500,http://www.marinetraffic.com/en/ais/details/ships/257205500"
Longliner,0.635412362,30,0.99980012,257225000,http://crowd.globalfishingwatch.org/project/maptests2/task/4143,"stephanielewis,katepepler,sidneyblack-rotchin",3,1,,2,,,,,,,,,,http://ship-info.com/prog/skip.asp?id=K115607
Trawler,0.915354311,30,1,257647500,http://crowd.globalfishingwatch.org/project/maptests2/task/4144,"stephanielewis,katepepler,sidneyblack-rotchin",3,,2,,,,1,,,,,,,http://ship-info.com/prog/ship.asp?id=K100843
Purse seine,0.552298605,37,1,258094960,http://crowd.globalfishingwatch.org/project/maptests2/task/4145,"stephanielewis,katepepler,sidneyblack-rotchin",3,,,,,,,3,,,,,,"http://www.marinetraffic.com/en/ais/details/ships/258094960,http://www.marinetraffic.com/en/ais/details/ships/258094960"
Purse seine,0.641491234,49,1,265613880,http://crowd.globalfishingwatch.org/project/maptests2/task/4146,"stephanielewis,katepepler,sidneyblack-rotchin",3,,,,,,,2,,,1,,,http://www.marinetraffic.com/en/ais/details/ships/265613880
Purse seine,0.519085407,30,1,271072022,http://crowd.globalfishingwatch.org/project/maptests2/task/4147,"stephanielewis,katepepler,clairechristie",3,,1,,1,,,,,,1,,,https://translate.google.ca/translate?hl=en&sl=tr&u=http://www.basarangemi.com.tr/eng/%3Fp%3Dbaliknakliye&prev=search
Purse seine,0.78996855,30,1,271072496,http://crowd.globalfishingwatch.org/project/maptests2/task/4148,"stephanielewis,katepepler,clairechristie",3,,2,,,,,,,,1,,,
Trawler,0.57466346,70,1,273375800,http://crowd.globalfishingwatch.org/project/maptests2/task/4149,"stephanielewis,katepepler,clairechristie",3,,,,,,,3,,,,,,"http://www.shippingexplorer.net/en/ship/vafa-1/29023,http://www.marinetraffic.com/en/ais/details/ships/273375800,http://www.shippingexplorer.net/en/ship/vafa-1/29023"
Longliner,0.967638612,30,0.558102345,273810800,http://crowd.globalfishingwatch.org/project/maptests2/task/4150,"stephanielewis,katepepler,clairechristie",3,1,,,,,1,,,,1,,,"http://info.rs-head.spb.ru/webFS/regbook/regbookVessel,http://www.s-road.info/en/product/okidori.html"
Longliner,0.53921926,79,1,273815050,http://crowd.globalfishingwatch.org/project/maptests2/task/4151,"katepepler,stephanielewis,clairechristie",3,,,,3,,,,,,,,,"http://info.rs-head.spb.ru/webFS/regbook/regbookVessel,http://info.rs-head.spb.ru/webFS/regbook/regbookVesselhttp://seaagent.com/en/ships/reefer/ship_imo_8033857.html,https://translate.google.ca/translate?hl=en&sl=pt&u=http://www.datamar.com.br/ship-search/detail/484183/komsomoliya-kaliningrada&prev=search"
Longliner,0.638239741,70,1,306589000,http://crowd.globalfishingwatch.org/project/maptests2/task/4152,"katepepler,stephanielewis,clairechristie",3,,,,,,,2,,,,1,Heavy lift Vessel ,"http://www.marinetraffic.com/en/ais/details/ships/306589000,https://en.wikipedia.org/wiki/MV_Blue_Marlin,https://www.fleetmon.com/vessels/blue-marlin_9186338_25222/photos/759188/"
Longliner,0.790322661,91,0.978364389,310614000,http://crowd.globalfishingwatch.org/project/maptests2/task/4153,"katepepler,stephanielewis,clairechristie",3,,,,,,,3,,,,,,"http://www.marinetraffic.com/en/ais/details/ships/310614000,http://www.rigzone.com/oil/data/offshore-rig-search/rig-profile/1539/drillship/odfjell/deepsea_metro_i/,https://www.vesselfinder.com/?mmsi=310614000"
Purse seine,0.626346469,37,1,316026186,http://crowd.globalfishingwatch.org/project/maptests2/task/4154,"katepepler,stephanielewis,clairechristie",3,,,,,,,2,,,1,,,"http://www.marinetraffic.com/en/ais/details/ships/316026186,http://sd.ic.gc.ca/pls/engdoc_anon/mmsi_search.Ship_Search_Single?inMMSI=316026186&invesname=eat&inname=&oinmmsi=&incallsign=&invesid=&ininmarsat=,http://sd.ic.gc.ca/pls/engdoc_anon/mmsi_search.Ship_Search_Single?inMMSI=316026186&invesname=eat&inname=&oinmmsi=&incallsign=&invesid=&ininmarsat="
Longliner,0.52448225,90,1,338100000,http://crowd.globalfishingwatch.org/project/maptests2/task/4155,"katepepler,stephanielewis,isabelfleisher,kristinaboerder,clairechristie,cailinburmaster",6,,,,,,,5,,,,1,Research vessel,"http://www.marinetraffic.com/en/ais/details/ships/338100000,http://www.fugrogeoservices.com/related/vessels/miss-emma-mccallhttp://www.fugro.com/docs/default-source/Expertise-docs/Our-World/Vessels/emma-mccall.pdf,ZHEFENGYU13026,https://www.fleetmon.com/vessels/miss-emma-mccall_9289659_2011945/"
Purse seine,0.689358234,30,1,345140500,http://crowd.globalfishingwatch.org/project/maptests2/task/4156,"katepepler,stephanielewis,isabelfleisher",3,1,2,,,,,,,,,,,"https://www.iattc.org/vesselregister/VesselDetails.aspx?VesNo=15661&Lang=en,http://www.fis.com/fis/worldnews/worldnews.asp?l=e&id=76425&ndb=1http://www.astillerosarmon.com/shipbuilding/boats-fishing/item/831-oaxaca/%3Ca%20href="
Longliner,0.664353609,72,0.541343669,367016310,http://crowd.globalfishingwatch.org/project/maptests2/task/4157,"stephanielewis,isabelfleisher,katepepler",3,,,,,,1,2,,,,,,"http://www.st.nmfs.noaa.gov/pls/webpls/cgv_pkg.vessel_id_list?vessel_id_in=591370http://boatdb.net/boat/la-madonna-591370.htmhttp://www.worldaffairsboard.com/showthread.php?t=40567&page=85,https://www.vesselfinder.com/vessels/LA-MADONNA-IMO-7717030-MMSI-367016310,http://www.marinetraffic.com/en/ais/details/ships/367016310"
Trawler,0.998255193,30,1,367064000,http://crowd.globalfishingwatch.org/project/maptests2/task/4158,"stephanielewis,isabelfleisher,katepepler",3,,,3,,,,,,,,,,"https://web.sfos.uaf.edu/wordpress/arcticeis/wp-content/uploads/2013/02/Arctic_survey_daily_updates.2012-09-08.pdf,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/040007008,http://www.fao.org/figis/vrmf/finder/search/#basic"
Longliner,0.547238767,30,1,367075080,http://crowd.globalfishingwatch.org/project/maptests2/task/4159,"stephanielewis,isabelfleisher,sidneyblack-rotchin,katepepler",4,,,1,,,1,,,,2,,,"http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/000003623,http://www.fao.org/figis/vrmf/finder/search/#basic"
Purse seine,0.750739157,36,1,367450270,http://crowd.globalfishingwatch.org/project/maptests2/task/4160,"stephanielewis,isabelfleisher,katepepler",3,,,,,,,3,,,,,,"http://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp?licKey=3193110,http://www.marinetraffic.com/en/ais/details/ships/367450270"
Longliner,0.768891811,37,1,367578250,http://crowd.globalfishingwatch.org/project/maptests2/task/4161,"stephanielewis,isabelfleisher,katepepler",3,,,,,,,3,,,,,,http://www.marinetraffic.com/en/ais/details/ships/367578250
Longliner,0.745289028,37,1,367628440,http://crowd.globalfishingwatch.org/project/maptests2/task/4162,"stephanielewis,isabelfleisher,katepepler",3,,,,,,,3,,,,,,"http://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=v1vnWRvpnb4Jjspvhdb5WvqFh9bB528Y0NF8hTh9sWNS2dwHRpQG!741707267!NONE?licKey=3607554&printable,http://www.marinetraffic.com/en/ais/details/ships/367628440"
Longliner,0.868555605,99,0.999876976,372698000,http://crowd.globalfishingwatch.org/project/maptests2/task/4163,"isabelfleisher,katepepler,juliecharbonneau",3,,,,,,,2,,,,1,Research vessel,"http://my.pinkfroot.com/photo/fugro-discovery-mmsi-372698000,https://gisis.imo.org/Public/SHIPS/Default.aspx,http://www.marinetraffic.com/en/ais/details/ships/372698000"
Trawler,0.998701453,70,1,377339000,http://crowd.globalfishingwatch.org/project/maptests2/task/4164,"isabelfleisher,katepepler,juliecharbonneau",3,,,1,,,,2,,,,,,"http://www.datamar.com.br/ship-search/detail/491683/tokai,http://www.marinetraffic.com/en/ais/details/ships/377339000"
Purse seine,0.802813768,54,1,403701810,http://crowd.globalfishingwatch.org/project/maptests2/task/4165,"isabelfleisher,katepepler,juliecharbonneau",3,,,,,,,3,,,,,,"https://www.servogear.no/selected-references/ain-dar-7,https://gisis.imo.org/Public/SHIPS/Default.aspx,http://www.batservicemandal.no/vessels/item/36-m-oil-pollution-cat-ain-dar-7-8"
Purse seine,0.977292657,30,1,412002218,http://crowd.globalfishingwatch.org/project/maptests2/task/4166,"isabelfleisher,katepepler,juliecharbonneau,sidneyblack-rotchin",4,,,1,,,,,,1,2,,,
Purse seine,0.776074708,30,1,412040902,http://crowd.globalfishingwatch.org/project/maptests2/task/4167,"isabelfleisher,katepepler,juliecharbonneau",3,,,,,,,,,1,2,,,
Trawler,0.806635797,30,1,412201709,http://crowd.globalfishingwatch.org/project/maptests2/task/4168,"isabelfleisher,katepepler,juliecharbonneau",3,,,,,,,,,1,2,,,
Purse seine,0.544747293,30,1,412332164,http://crowd.globalfishingwatch.org/project/maptests2/task/4169,"isabelfleisher,katepepler,juliecharbonneau",3,,,,,,,,,1,2,,,
Purse seine,0.6201967,70,1,412333131,http://crowd.globalfishingwatch.org/project/maptests2/task/4170,"isabelfleisher,katepepler,juliecharbonneau",3,,,,,,,,,1,2,,,
Purse seine,0.977339208,30,1,412348969,http://crowd.globalfishingwatch.org/project/maptests2/task/4171,"isabelfleisher,katepepler,juliecharbonneau",3,,,,,,,,,1,2,,,
Purse seine,0.793214202,30,1,412409229,http://crowd.globalfishingwatch.org/project/maptests2/task/4172,"isabelfleisher,juliecharbonneau,stephanielewis",3,,,,,,,,,,3,,,
Trawler,0.741830468,30,1,412410837,http://crowd.globalfishingwatch.org/project/maptests2/task/4173,"isabelfleisher,juliecharbonneau,clairechristie",3,,,,,,,,,,3,,,
Purse seine,0.807344675,30,1,412411683,http://crowd.globalfishingwatch.org/project/maptests2/task/4174,"isabelfleisher,juliecharbonneau,clairechristie",3,,,,,,,,,,3,,,
Trawler,0.834671438,30,1,412418238,http://crowd.globalfishingwatch.org/project/maptests2/task/4175,"isabelfleisher,juliecharbonneau,clairechristie",3,,,,,,,,,,3,,,
Trawler,0.67393446,30,1,412419462,http://crowd.globalfishingwatch.org/project/maptests2/task/4176,"isabelfleisher,juliecharbonneau,clairechristie",3,,,,,,,,,,3,,,
Purse seine,0.925438941,30,1,412419533,http://crowd.globalfishingwatch.org/project/maptests2/task/4177,"isabelfleisher,juliecharbonneau,clairechristie",3,,,,,,,,,,3,,,
Purse seine,0.895273149,30,1,412419573,http://crowd.globalfishingwatch.org/project/maptests2/task/4178,"isabelfleisher,juliecharbonneau,clairechristie",3,,,,,,,,,,3,,,
Trawler,0.652968049,30,1,412421896,http://crowd.globalfishingwatch.org/project/maptests2/task/4179,"isabelfleisher,juliecharbonneau,clairechristie",3,,,,,,,,,,3,,,
Trawler,0.5010975,30,1,412422273,http://crowd.globalfishingwatch.org/project/maptests2/task/4180,"isabelfleisher,juliecharbonneau,clairechristie",3,,,,,,,,,,3,,,
Trawler,0.640591979,30,1,412422649,http://crowd.globalfishingwatch.org/project/maptests2/task/4181,"isabelfleisher,juliecharbonneau,clairechristie",3,,,,,,,,,,3,,,
Trawler,0.700242519,30,1,412423861,http://crowd.globalfishingwatch.org/project/maptests2/task/4182,"isabelfleisher,juliecharbonneau,clairechristie",3,,,,,,,,,,3,,,
Trawler,0.735049367,30,1,412426816,http://crowd.globalfishingwatch.org/project/maptests2/task/4183,"isabelfleisher,juliecharbonneau,clairechristie",3,,,,,,,,,,3,,,
Purse seine,0.879969835,30,1,412428736,http://crowd.globalfishingwatch.org/project/maptests2/task/4184,"isabelfleisher,juliecharbonneau,clairechristie",3,,,,,,,,,,3,,,
Purse seine,0.876181006,94,1,412432558,http://crowd.globalfishingwatch.org/project/maptests2/task/4185,"isabelfleisher,juliecharbonneau,clairechristie",3,,1,,,,,,,,2,,,
Trawler,0.745484233,30,1,412435055,http://crowd.globalfishingwatch.org/project/maptests2/task/4186,"isabelfleisher,juliecharbonneau,clairechristie",3,,,,,,,,,,3,,,
Trawler,0.775444508,30,1,412439319,http://crowd.globalfishingwatch.org/project/maptests2/task/4187,"isabelfleisher,juliecharbonneau,clairechristie",3,,,,,,,,,,3,,,
Trawler,0.823277652,30,1,412444812,http://crowd.globalfishingwatch.org/project/maptests2/task/4188,"isabelfleisher,juliecharbonneau,clairechristie",3,,,,,,,,,,3,,,
Trawler,0.572199464,30,1,412444889,http://crowd.globalfishingwatch.org/project/maptests2/task/4189,"isabelfleisher,juliecharbonneau,clairechristie",3,,,,,,,,,,3,,,
Purse seine,0.682795584,30,1,412449093,http://crowd.globalfishingwatch.org/project/maptests2/task/4190,"isabelfleisher,juliecharbonneau,clairechristie",3,,,,,,,,,,3,,,
Purse seine,0.947354376,30,1,412449691,http://crowd.globalfishingwatch.org/project/maptests2/task/4191,"isabelfleisher,juliecharbonneau,clairechristie",3,,,,,,,,,,3,,,
Purse seine,0.716886342,30,1,412449876,http://crowd.globalfishingwatch.org/project/maptests2/task/4192,"isabelfleisher,juliecharbonneau,clairechristie",3,,,,,,,,,,3,,,
Purse seine,0.762686133,30,1,412460689,http://crowd.globalfishingwatch.org/project/maptests2/task/4193,"isabelfleisher,juliecharbonneau,clairechristie",3,,,,,,,,,,3,,,
Trawler,0.592571914,30,1,412460723,http://crowd.globalfishingwatch.org/project/maptests2/task/4194,"isabelfleisher,juliecharbonneau,clairechristie",3,,,,,,,,,,3,,,
Trawler,0.828948081,30,1,412460726,http://crowd.globalfishingwatch.org/project/maptests2/task/4195,"isabelfleisher,juliecharbonneau,clairechristie",3,,,,,,,,,,3,,,
Trawler,0.685522616,30,1,412460781,http://crowd.globalfishingwatch.org/project/maptests2/task/4196,"isabelfleisher,juliecharbonneau,clairechristie",3,,,,,,,,,,3,,,
Trawler,0.795149624,30,1,412898888,http://crowd.globalfishingwatch.org/project/maptests2/task/4197,"isabelfleisher,juliecharbonneau,clairechristie",3,,,,,,,1,,,2,,,https://translate.google.ca/translate?hl=en&sl=zh-CN&u=http://www.shipxy.com/Home/Ship/412898888&prev=search
