mmsi,link,users,responses,longliner,pursseiner,trawler,reefers,multigear,other fishing,notfishing,multiple,baddata,not known,other,othertext,websitesfound
247110080,http://crowd.globalfishingwatch.org/project/maptests2/task/4060,"stephanielewis,juliecharbonneau,ciarawillis,katepepler,sidneyblack-rotchin,clairechristie,isabelfleisher,ninagalle,cailinburmaster",9,,6,,,,,,,2,,1,multi_gear,"http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/000008695#.Vs5tavkrLIU,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=27884923&search_type=advanced&search_id=2281,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=27884923&search_type=advanced&search_id=896,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=27884923&search_type=simple&search_id=7216,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/000008695#.Vtc29LyudsM,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=27884923&search_type=advanced&search_id=6583"
247110180,http://crowd.globalfishingwatch.org/project/maptests2/task/4061,"stephanielewis,juliecharbonneau,ciarawillis,katepepler,sidneyblack-rotchin,clairechristie,isabelfleisher,ninagalle,cailinburmaster",9,,3,,,,,2,,1,2,1,multi_gear,"http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/000008893#.Vs5t6vkrLIUhttp://www.whofishesfar.org/vessels/3530,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=27741322&search_type=advanced&search_id=743,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/000008893#.VtMvqvIrLIU,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=27741322&search_type=advanced&search_id=9453,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=27741322&search_type=simple&search_id=6539,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/000008893#.Vtc3bryudsM,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/000008893,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=27741322&search_type=advanced&search_id=6583"
256000325,http://crowd.globalfishingwatch.org/project/maptests2/task/4062,"stephanielewis,juliecharbonneau,katepepler,ciarawillis,sidneyblack-rotchin,clairechristie,isabelfleisher,ninagalle,cailinburmaster",9,,,6,,,,,,,2,1,Purse Seine ,"https://gisis.imo.org/Public/SHIPS/Default.aspx,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/030118536/#.VtXJuvIrLIU,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=27811697&search_type=simple&search_id=574,http://maritime-connector.com/ship/salve-regina-7521560/print/,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=27811697&search_type=advanced&search_id=2736"
263575000,http://crowd.globalfishingwatch.org/project/maptests2/task/4063,"stephanielewis,juliecharbonneau,katepepler,sidneyblack-rotchin,clairechristie,isabelfleisher,ciarawillis,ninagalle",8,,,5,,,,,,,2,1,multi_gear,"http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/030172760#.Vs5v0fkrLIU,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/030172760#.VtH5MPkrLIU,https://gisis.imo.org/Public/SHIPS/Default.aspx,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=27597442&search_type=simple&search_id=6945,http://www.nauticexpo.com/prod/astilleros-jose-valina/product-32247-281646.html,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/030172760#.Vt4AgJwrLIU,http://www.fao.org/figis/vrmf/finder/search/#quick"
271072208,http://crowd.globalfishingwatch.org/project/maptests2/task/4064,"stephanielewis,juliecharbonneau,katepepler,sidneyblack-rotchin,clairechristie,isabelfleisher,ciarawillis,ninagalle",8,,6,,,,1,,,,,1,multi_gear,"http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/000007071#.Vs5xa_krLIU,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/000007071#.VtH58_krLIU,http://www.greenpeace.org/espana/Global/espana/report/other/la-desastrosa-gesti-n-del-at-n.pdfPICTURE 4,http://www.marinetraffic.com/en/ais/details/ships/271072208,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/000007071#.Vtc5eryufVo,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/000007000,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/000007071#.Vt4BEJwrLIU,http://www.fao.org/figis/vrmf/finder/search/#quick"
271072475,http://crowd.globalfishingwatch.org/project/maptests2/task/4065,"stephanielewis,katepepler,sidneyblack-rotchin,clairechristie,isabelfleisher,juliecharbonneau,ninagalle",7,,1,1,,,,,,,4,1,Fish cutter?,"https://www.portmaps.com/eng/Aiss/hasan-reis-11-class-b-271072475,http://www.ships-and-funnels.de/Fotos/5000/4785-en.html,http://www.vesseltracker.com/de/Ships/Hasan-Reis-11-I318738.html,http://www.fao.org/figis/vrmf/finder/search/#quick"
271072850,http://crowd.globalfishingwatch.org/project/maptests2/task/4066,"stephanielewis,katepepler,sidneyblack-rotchin,clairechristie,isabelfleisher,juliecharbonneau,ninagalle",7,1,5,,,,,,,,,1,multi_gear,"http://www.fao.org/figis/vrmf/finder/search/#basic,http://www.marinetraffic.com/en/ais/details/ships/271072850,http://www.fao.org/figis/vrmf/finder/search/#quick"
356567000,http://crowd.globalfishingwatch.org/project/maptests2/task/4067,"stephanielewis,sidneyblack-rotchin,isabelfleisher,katepepler,clairechristie,juliecharbonneau,ninagalle",7,,,,7,,,,,,,,,"https://www.wcpfc.int/node/17815https://www.ccamlr.org/en/node/79353,http://www.marinetraffic.com/en/ais/details/ships/356567000,https://www.vesseltracker.com/en/Ships/Shanghai-Reefer-9010785.html,https://gisis.imo.org/Public/SHIPS/Default.aspx,https://www.wcpfc.int/node/17815,https://www.wcpfc.int/node/17815,http://www.fao.org/figis/vrmf/finder/search/#quick"
357788000,http://crowd.globalfishingwatch.org/project/maptests2/task/4068,"stephanielewis,sidneyblack-rotchin,clairechristie,katepepler,juliecharbonneau,isabelfleisher,ninagalle",7,,,,7,,,,,,,,,"http://www.cnn.com/2015/09/21/politics/coast-guard-investigate-american-peru-disappearance/https://www.wcpfc.int/node/17528,http://www.marinetraffic.com/en/ais/details/ships/357788000,https://www.wcpfc.int/node/17528,https://www.wcpfc.int/node/17528,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/018000615#.VtjpJPkrLIU,https://www.wcpfc.int/node/17528,http://www.fao.org/figis/vrmf/finder/search/#quick"
370599000,http://crowd.globalfishingwatch.org/project/maptests2/task/4069,"stephanielewis,sidneyblack-rotchin,clairechristie,katepepler,juliecharbonneau,isabelfleisher,ninagalle",7,,,,6,,,,,,1,,,"https://www.wcpfc.int/node/18114http://www.iccat.int/en/VesselsRecordDet.asp?id=24360,http://www.marinetraffic.com/en/ais/details/ships/370599000,https://www.fleetmon.com/vessels/ibuki_9666481_8147587/?language=en,https://www.wcpfc.int/node/18114,http://www.iccat.int/en/VesselsRecordDet.asp?id=24360,http://www.kyokuyoshipyard.com/en/01news/163.html"
416001900,http://crowd.globalfishingwatch.org/project/maptests2/task/4070,"stephanielewis,sidneyblack-rotchin,clairechristie,katepepler,juliecharbonneau,isabelfleisher,ninagalle",7,,,,7,,,,,,,,,"https://www.wcpfc.int/node/15537http://maritime-connector.com/ship/yuan-tai-no806-7900663/,http://www.marinetraffic.com/en/ais/details/ships/416001900,https://www.wcpfc.int/node/15537,https://www.wcpfc.int/node/15537,https://www.wcpfc.int/node/15537,http://www.shipspotting.com/gallery/photo.php?lid=1180700"
416308000,http://crowd.globalfishingwatch.org/project/maptests2/task/4071,"stephanielewis,sidneyblack-rotchin,clairechristie,katepepler,juliecharbonneau,isabelfleisher,ninagalle",7,,,,7,,,,,,,,,"https://www.wcpfc.int/node/15541This vessel as well as the one right before this both look like fish carriers and my research says they are, but their speed profiles and pattern looks a lot like a purse seiner to me?,http://www.marinetraffic.com/en/ais/details/ships/416308000,https://www.wcpfc.int/node/15541,https://www.wcpfc.int/node/15541,https://www.wcpfc.int/node/15541"
416602000,http://crowd.globalfishingwatch.org/project/maptests2/task/4072,"stephanielewis,sidneyblack-rotchin,clairechristie,katepepler,juliecharbonneau,isabelfleisher,ninagalle",7,,,,6,,,,,,1,,,"https://www.wcpfc.int/node/15532,http://www.marinetraffic.com/en/ais/details/ships/416602000,https://www.wcpfc.int/node/15532,https://www.wcpfc.int/node/15532,https://www.wcpfc.int/node/15532,http://www.datamar.com.br/ship-search/detail/16659/shun-tian-fa-168"
416702000,http://crowd.globalfishingwatch.org/project/maptests2/task/4073,"stephanielewis,sidneyblack-rotchin,clairechristie,katepepler,juliecharbonneau,ninagalle,isabelfleisher",7,,,,6,,,,,,1,,,"https://www.wcpfc.int/node/15540,http://www.marinetraffic.com/en/ais/details/ships/416702000,http://maritime-connector.com/ship/sheng-hong-no806-7920869/,https://www.wcpfc.int/node/15540,http://www.marinetraffic.com/en/ais/details/ships/416702000,http://www.shipspotting.com/gallery/photo.php?lid=909861&sort_comments=2"
416730000,http://crowd.globalfishingwatch.org/project/maptests2/task/4074,"stephanielewis,sidneyblack-rotchin,clairechristie,katepepler,juliecharbonneau,ninagalle,isabelfleisher",7,,,,5,,,,,,1,1,Cargo,"https://www.wcpfc.int/node/15530,http://www.marinetraffic.com/en/ais/details/ships/416730000,https://www.wcpfc.int/node/15530,https://www.wcpfc.int/node/15530,https://www.wcpfc.int/node/15530,https://www.wcpfc.int/node/15530"
416833000,http://crowd.globalfishingwatch.org/project/maptests2/task/4075,"stephanielewis,sidneyblack-rotchin,clairechristie,katepepler,juliecharbonneau,ninagalle,isabelfleisher",7,,,,3,,,,,,3,1,multi_gear,"http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/000005738#.Vs8h9PkrLIU,http://www.fao.org/figis/vrmf/finder/FFA/!/display/vessel/UID/000005738#.VtjkZcdOmlA,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/000005738#.Vtjr3fkrLIU,http://www.fao.org/figis/vrmf/finder/search/#quick"
431028000,http://crowd.globalfishingwatch.org/project/maptests2/task/4076,"stephanielewis,sidneyblack-rotchin,clairechristie,katepepler,juliecharbonneau,ninagalle,isabelfleisher",7,,,,,,,2,,,1,4,"research vessel,Training Ship,Fishery Research Vessel,FAO: ''research vessel'","https://www.wcpfc.int/node/13062,http://www.marinetraffic.com/en/ais/details/ships/431028000,https://www.vesselfinder.com/vessels/HOKUHOMARU-IMO-9234161-MMSI-431028000,https://www.wcpfc.int/node/13062,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/000015586#.VtjspvkrLIU,http://www.fao.org/figis/vrmf/finder/search/#quick,http://www.vesseltracker.com/jp/Ships/Hokuhomaru-9234161.html"
431225000,http://crowd.globalfishingwatch.org/project/maptests2/task/4077,"stephanielewis,sidneyblack-rotchin,clairechristie,katepepler,juliecharbonneau,ninagalle,isabelfleisher",7,1,,1,,,,,,,2,3,"research vessel,Fishery research vessel,Research vessel","https://www.wcpfc.int/node/13069http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/000015608#.Vs8kDPkrLIU,https://www.vesselfinder.com/vessels/KASHIMA-MARU-IMO-9061100-MMSI-431225000,https://www.wcpfc.int/node/13069,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/000015608#.Vt2G6fkrLIU,http://www.fao.org/figis/vrmf/finder/search/#quick,http://www.fao.org/figis/vrmf/finder/!/display/vessel/IMO/8804294"
431254000,http://crowd.globalfishingwatch.org/project/maptests2/task/4078,"stephanielewis,sidneyblack-rotchin,clairechristie,katepepler,juliecharbonneau,ninagalle,isabelfleisher",7,1,,,,,2,,,,1,3,"research vessel,Fishery research vessel,Research vessel","https://www.youtube.com/watch?v=NqCJZmDc_54https://www.wcpfc.int/node/13072,http://maritime-connector.com/ship/shonan-maru-9195016/print/,https://www.youtube.com/watch?v=Gto103SvZwA,https://www.wcpfc.int/node/13072,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/000015619#.Vt2HMfkrLIU,http://www.fao.org/figis/vrmf/finder/search/#quick,http://www.shipspotting.com/gallery/photo.php?lid=1105217"
431272000,http://crowd.globalfishingwatch.org/project/maptests2/task/4079,"stephanielewis,sidneyblack-rotchin,clairechristie,katepepler,juliecharbonneau,ninagalle",6,,,,,,,,,,1,5,"research vessel,Training Ship,research vessel ,Fishery research vessel,Research vessel","https://www.wcpfc.int/node/13068http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/000015598#.Vs8mU_krLIU,http://www.marinetraffic.com/en/ais/details/ships/431272000,https://www.wcpfc.int/node/13068,https://www.wcpfc.int/node/13068,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/000015598#.Vt2HlvkrLIU,http://www.fao.org/figis/vrmf/finder/search/#quick"
431465000,http://crowd.globalfishingwatch.org/project/maptests2/task/4080,"stephanielewis,sidneyblack-rotchin,clairechristie,katepepler,juliecharbonneau,ninagalle",6,2,,2,,,,,,,,2,"research vessel,multi_gear","http://www.fao.org/figis/vrmf/finder/IOTC/!/display/vessel/UID/000015762#.Vs8nMfkrLIU,http://www.marinetraffic.com/en/ais/details/ships/431465000,http://www.fao.org/figis/vrmf/finder/search/#basic,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/000015762#.Vt2H7fkrLIU,http://www.fao.org/figis/vrmf/finder/search/#quick"
431469000,http://crowd.globalfishingwatch.org/project/maptests2/task/4081,"stephanielewis,sidneyblack-rotchin,clairechristie,katepepler,juliecharbonneau,ninagalle",6,1,,,,,1,,,,,4,"research vessel,Research vessel,Research vessel,multi_gear","https://www.wcpfc.int/node/13077,https://www.wcpfc.int/node/13077,https://www.wcpfc.int/node/13077,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/000015665#.Vt2IdfkrLIU,http://www.fao.org/figis/vrmf/finder/search/#quick"
431619000,http://crowd.globalfishingwatch.org/project/maptests2/task/4082,"stephanielewis,sidneyblack-rotchin,katepepler,juliecharbonneau,ninagalle",5,,,2,,,,,,,2,1,research vessel,"http://www.marinetraffic.com/en/ais/details/ships/431619000,https://gisis.imo.org/Public/SHIPS/Default.aspx,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/000015650#.Vt2IsPkrLIU,http://www.fao.org/figis/vrmf/finder/search/#quick"
431710000,http://crowd.globalfishingwatch.org/project/maptests2/task/4083,"stephanielewis,sidneyblack-rotchin,katepepler,juliecharbonneau,ninagalle",5,,,,,,,,,,2,3,"research vessel,Training Ship,Research vessel","http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/000015070#.Vs8qpPkrLIU,http://www.marinetraffic.com/en/ais/details/ships/431710000,https://gisis.imo.org/Public/SHIPS/Default.aspx,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/000015070#.Vt2JCfkrLIU,http://www.fao.org/figis/vrmf/finder/search/#quick"
431717000,http://crowd.globalfishingwatch.org/project/maptests2/task/4084,"stephanielewis,sidneyblack-rotchin,katepepler,juliecharbonneau,ninagalle",5,,,2,,,,,,,2,1,Research vessel,"https://www.vesselfinder.com/?mmsi=431717000,https://gisis.imo.org/Public/SHIPS/Default.aspx,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/000015654#.Vt2J2_krLIU"
431731000,http://crowd.globalfishingwatch.org/project/maptests2/task/4085,"stephanielewis,sidneyblack-rotchin,juliecharbonneau,katepepler,ninagalle",5,,,,,,,,,,1,4,"research vessel,Training Ship,Research vessel,research ","ftp://ftp.wmo.int/Documents/PublicWeb/amp/mmop/documents/JCOMM-TR/J-TR-41-SOT-ANN-2007/reports/Japan_BATHY_TESAC.pdfhttp://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/000015653#.Vs8t0_krLIU,http://maritime-connector.com/ship/unryu-maru-9115640/,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/000015653#.Vt2KG_krLIU,9115640,http://www.fao.org/figis/vrmf/finder/search/#quick"
431796000,http://crowd.globalfishingwatch.org/project/maptests2/task/4086,"stephanielewis,sidneyblack-rotchin,juliecharbonneau,katepepler,ninagalle",5,,5,,,,,,,,,,,"https://www.wcpfc.int/node/13886,https://www.wcpfc.int/node/13886,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/000001223#.Vt2KYPkrLIU,https://www.wcpfc.int/node/13886,http://www.fao.org/figis/vrmf/finder/search/#quick"
431919000,http://crowd.globalfishingwatch.org/project/maptests2/task/4087,"stephanielewis,sidneyblack-rotchin,juliecharbonneau,katepepler",4,,,,,,1,,,,,3,"research vessel,Research vessel,research vessel","https://www.wcpfc.int/node/13061,https://www.wcpfc.int/node/13061,http://www.wcpfc.int/record-fishing-vessel-database/trackback?auth_tranship_hs=All&field_vessel_submitted_by_ccm_value=All&fishing_methods=All&flag=All&imo=&ircs=&name=&page=8&type=All&vid=&win=&order=field_vessel_vid&sort=asc,https://www.wcpfc.int/node/13061"
432106000,http://crowd.globalfishingwatch.org/project/maptests2/task/4088,"stephanielewis,sidneyblack-rotchin,juliecharbonneau,katepepler",4,,,,,,,,,,,4,"research vessel,Research,Research vessel,research vessel","https://www.wcpfc.int/node/13082,https://www.wcpfc.int/node/13082,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/000015696#.Vt2LBvkrLIU,https://www.wcpfc.int/node/13082"
432288000,http://crowd.globalfishingwatch.org/project/maptests2/task/4089,"stephanielewis,sidneyblack-rotchin,juliecharbonneau,katepepler",4,,,,,,,,,,,4,"research vessel,Research,Research vessel,research","https://www.wcpfc.int/node/13064,https://www.wcpfc.int/node/13064,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/000015588#.Vt2LavkrLIU,https://www.wcpfc.int/node/13064"
